dataset,model,Continuous_Mean_WD,Continuous_Mean_KL_50bins,Continuous_Corr_Pearson,mmd,Discrete_Mean_KL,Discrete_Corr_Spearman,Categorical_Mean_KL,Categorical_NMI,fit_time,tstr_r2_real,tstr_r2_synth,tstr_r2_deviation_%,tstr_r2_diff_raw,fold
king_county_housing,msbm,0.20372679165204158,0.41561023769904554,2.6359840649679778,0.02609728889016616,,,,,100.40358686447144,0.8633189042540845,0.4078468895521863,52.75825798062771,0.45547201470189824,1
king_county_housing,msbm,0.1962709621525486,0.41291014764179157,2.6401458775953714,0.02581570054457971,,,,,100.46589636802673,0.8338074354904356,0.44772975604099063,46.30297872342175,0.38607767944944493,2
king_county_housing,msbm,0.20664436368080463,0.42933338735610244,2.557642043154629,0.02590667988668971,,,,,98.322256565094,0.8681066937939597,0.4449388981105279,48.746058371468834,0.42316779568343177,3
king_county_housing,msbm,0.2023143225628206,0.4456265600390808,2.5958861319272986,0.024954276828481614,,,,,98.1153028011322,0.8403706867023957,0.3983600891318403,52.597098466749195,0.4420105975705554,4
king_county_housing,msbm,0.2010614945169658,0.4256296848659856,2.609748766543239,0.02575199952593763,,,,,99.72597737312317,0.848623467288321,0.4350341994214886,48.70684597493093,0.4135892678668324,mean
bank_loan,msbm,0.20853380828176468,0.4170273923863463,0.7060286363951325,0.019685462034359835,,,,,18.0008225440979,0.6098864052465254,0.3091028563683341,49.31796254035372,0.30078354887819125,0
bank_loan,msbm,0.21131921463100908,0.4262071736912505,0.6357510151363814,0.018046374308633206,,,,,17.98342251777649,0.5822428036746452,0.3279237502367648,43.679209400755916,0.2543190534378804,1
bank_loan,msbm,0.2004585035806215,0.43806402465249394,0.6934095246786403,0.018539474342977758,,,,,18.03457760810852,0.5265949403390939,0.29852739652814575,43.309862351523364,0.22806754381094818,2
bank_loan,msbm,0.21615244915005066,0.3854891634724478,0.6676400796915882,0.01891145818241935,,,,,18.018558025360107,0.5391833191598264,0.3054951325327524,43.3411380365429,0.23368818662707402,3
bank_loan,msbm,3.1166969528303183,0.005406158198738177,6.6439331834022495,0.018269413201327356,,,,,18.004996299743652,0.5434691700963623,0.32178278754819645,40.790976700455474,0.22168638254816586,4
bank_loan,msbm,0.7906321856947528,0.3344387824802553,1.869352487860798,0.018690436413943502,,,,,18.008475399017335,0.5602753277032907,0.3125663846428387,44.08782980592627,0.24770894306045194,mean
bank_marketing,msbm,0.1875292019626404,0.33218182761124143,0.2533646432803593,0.010099372303248089,,,,,55.714948415756226,0.7875168729540764,0.5832146027739835,25.942589574459397,0.20430227018009284,0
bank_marketing,msbm,0.18745642748171745,0.29717977615742164,0.2758901219826484,0.009079612378572799,,,,,55.677812576293945,0.8087619488572739,0.6089308571508449,24.708270707935363,0.199831091706429,1
bank_marketing,msbm,0.18023104185237662,0.3161437432149691,0.2472936083628598,0.008711967612047622,,,,,56.237550497055054,0.7838039528735004,0.6306729028171199,19.53690709200782,0.1531310500563805,2
