dataset,model,Continuous_Mean_WD,Continuous_Mean_KL_50bins,Continuous_Corr_Pearson,mmd,Discrete_Mean_KL,Discrete_Corr_Spearman,Categorical_Mean_KL,Categorical_NMI,fit_time,tstr_f1_real,tstr_f1_synth,tstr_f1_deviation_%,tstr_f1_diff_raw,fold
Lymphography,csbm,,,,,0.45730252729563586,1.2288837486513138,0.055781663762018575,1.527294111650246,17.44001531600952,0.8564102564102564,0.24242424242424243,71.69297768100164,0.6139860139860139,4
Lymphography,csbm,,,,,0.29338240614946726,1.0157626952694332,0.1253726859004268,1.7859161415704778,17.476479959487914,0.6211916738232528,0.2637129132215954,57.779654086915286,0.35747876060165734,mean
Breast cancer,csbm,,,,,1.8137409527703046,0.0,1.3061051675658009,0.8465266272291537,15.10303783416748,0.604040404040404,0.0,100.0,0.604040404040404,0
Breast cancer,csbm,,,,,1.765981585441534,0.0,1.2583363099207334,0.8482170557920575,15.2557213306427,0.6339869281045751,0.0,100.0,0.6339869281045751,1
Breast cancer,csbm,,,,,1.1802269452400778,0.0,1.391538756678359,0.8741451145669703,14.487616300582886,0.7335271317829457,0.0,100.0,0.7335271317829457,2
Breast cancer,csbm,,,,,1.8066614026392607,0.0,1.3210729293419567,0.9477689297536559,14.694343090057373,0.5864661654135338,0.0,100.0,0.5864661654135338,3
Breast cancer,csbm,,,,,1.6683369242131638,0.0,1.25796742905865,0.8437144464058842,15.018010139465332,0.6167247386759582,0.0,100.0,0.6167247386759582,4
Breast cancer,csbm,,,,,1.646989562060868,0.0,1.3070041185130998,0.8720744347495444,14.911745738983154,0.6349490736034834,0.0,100.0,0.6349490736034834,mean
Car Evaluation,csbm,,,,,,,0.12297960573157274,0.37409519707664834,456.33274245262146,0.9978694984305083,0.20376712328767124,79.57978236551324,0.7941023751428371,0
Car Evaluation,csbm,,,,,,,0.1215763639854924,0.3694537252570221,467.95667815208435,0.9441464237516869,0.20933062880324543,77.82858426011472,0.7348157949484415,1
Car Evaluation,csbm,,,,,,,0.12444920405010994,0.33793938675749374,450.8412113189697,1.0,0.20963234380822257,79.03676561917774,0.7903676561917774,2
Car Evaluation,csbm,,,,,,,0.12485485590734934,0.36743175332894235,456.94923186302185,0.9505088702147526,0.20512820512820512,78.41911721645906,0.7453806650865475,3
Car Evaluation,csbm,,,,,,,0.1239523130071495,0.3833274540451651,454.66565895080566,0.9957159023549065,0.20512820512820512,79.39892245940142,0.7905876972267014,4
Car Evaluation,csbm,,,,,,,0.12356246853633479,0.3664495032930543,457.3491045475006,0.9776481389503708,0.2065973012311099,78.85263438413324,0.7710508377192611,mean
Mushroom,csbm,,,,,,,0.1370604691306411,4.493755947715456,95.48303961753845,1.0,0.4152863704536933,58.47136295463067,0.5847136295463067,0
Mushroom,csbm,,,,,,,0.13606444693517145,4.418244492700775,93.32436203956604,1.0,0.38795334889672484,61.20466511032752,0.6120466511032752,1
Mushroom,csbm,,,,,,,0.13161117480991458,4.434670648611578,93.78943681716919,1.0,0.4579407201377457,54.20592798622543,0.5420592798622543,2
Mushroom,csbm,,,,,,,0.13298882557128536,4.480197685197724,95.82547903060913,1.0,0.4284323461261367,57.15676538738633,0.5715676538738633,3
Mushroom,csbm,,,,,,,0.13255265031852959,4.502361769496798,94.65287446975708,1.0,0.5275408543577982,47.24591456422018,0.4724591456422018,4
Mushroom,csbm,,,,,,,0.13405551335310842,4.465846108744466,94.61503839492798,1.0,0.4434307279944198,55.65692720055803,0.5565692720055802,mean
