dataset,model,Continuous_Mean_WD,Continuous_Mean_KL_50bins,Continuous_Corr_Pearson,mmd,Discrete_Mean_KL,Discrete_Corr_Spearman,Categorical_Mean_KL,Categorical_NMI,fit_time,tstr_f1_real,tstr_f1_synth,tstr_f1_deviation_%,tstr_f1_diff_raw,fold,tstr_r2_real,tstr_r2_synth,tstr_r2_deviation_%,tstr_r2_diff_raw
Forest Fires,msbm,0.37852614698828313,1.111281492562368,2.433609892551739,0.06114818334975447,0.2502767495789056,0.4368943425596278,0.0868986150382809,0.13631617535283877,1.4342899322509766,,,,,4,-0.5524785029255741,-1.2044020278493983,-117.99979935357715,-0.6519235249238242
Forest Fires,msbm,0.4037889518698715,1.1207158390911276,2.4658715075925812,0.055030744831751,0.13126732174668615,0.32200450451677287,0.11253418171108998,0.10806580112528466,1.492042636871338,,,,,mean,-1.8891302174032663,-1.5359911721172481,-213.59098074530863,0.35313904528601825
Insurance,msbm,0.21173919318157766,0.3391447534546346,0.42225232234709265,0.020558178921184722,0.0267947791286344,0.0,0.003744220180604,0.060945763244459876,6.3157689571380615,,,,,0,0.8746460496398484,0.08423601246232992,-90.36913131923299,-0.7904100371775185
Insurance,msbm,0.24278279158034108,0.42078521618878356,0.5730978662085293,0.02316976394692083,0.051697707164994076,0.0,0.002263599196112442,0.004180892299810462,6.350454807281494,,,,,1,0.8151258041122031,0.11276478058329731,-86.16596603684809,-0.7023610235289058
Insurance,msbm,0.20416852097856286,0.37435507582932576,0.5592981257489191,0.021110575181541358,0.00787290846118097,0.0,0.013252891357632149,0.007339283929631809,6.3358964920043945,,,,,2,0.8653809974202964,0.13493047194283792,-84.40796916675244,-0.7304505254774585
Insurance,msbm,0.21896036421881204,0.37153891349320595,0.4964222200416099,0.02071829451243201,0.011430228315507636,0.0,0.00903753635640945,0.007644052008770856,6.321477890014648,,,,,3,0.8302137584043159,0.15333910756677782,-81.53016545263017,-0.6768746508375381
Insurance,msbm,0.21741233715721234,0.39017089090929885,0.6208457865007297,0.02269541229387828,0.06372280437326473,0.0,0.0024631198085288187,0.009316643833755543,6.377711057662964,,,,,4,0.8875825678689434,0.175674166978254,-80.20756903776942,-0.7119084008906894
Insurance,msbm,0.2190126414233012,0.3791989699750497,0.5343832641693762,0.02165044497119144,0.03230368548871636,0.0,0.006152273379857372,0.01788532706328571,6.340261840820313,,,,,mean,0.8545898354891215,0.1321889079066994,-84.53616020264663,-0.722400927582422
House Sales,msbm,0.23434997234146948,0.6637908691470245,3.5180408995925347,0.02908837217692073,0.007198695693192733,0.5360211728860763,0.22747452555834202,0.0,879.2843861579895,,,,,0,0.9026312415733952,0.5609725145480549,-37.85141830785604,-0.3416587270253404
House Sales,msbm,0.23394104640948146,0.6214530830775077,3.4226251220569583,0.028904551746865126,0.0073816212284298684,0.5443582229624787,0.2895569599315847,0.0,878.5705552101135,,,,,1,0.9070694908003828,0.49575428669300003,-45.345500899213924,-0.41131520410738276
House Sales,msbm,0.24410651357693047,0.6545609064106837,3.524680612883763,0.02777301982026048,0.02014766450758851,0.5131101914936521,0.25975579122904313,0.0,891.1076769828796,,,,,2,0.8949690077082588,0.48603680940351723,-45.69233065979475,-0.4089321983047416
